total_population,california_county,longitude,latitude,ces_4_0_percentile,low_birth_weight_pctl,cardiovascular_disease_pctl,education_pctl,poverty_pctl,unemployment_pctl
9516,Kern ,-119.2918485,35.516438,69.45,36.41,76.52,92.75,83.58,86.75
3936,Los Angeles,-118.1116637,33.9983747,69.44,27.92,79.89,73.16,41.91,39.21
3211,Solano ,-122.266959,38.1165979,69.43,84.53,91.55,39.21,70.13,70.9
3878,San Mateo,-122.2235825,37.4797023,69.42,64.78,11.34,88.47,76.87,11.87
6350,San Bernardino,-117.723699,34.0151297,69.4,33.73,79.37,56.73,40.11,69.13
23978,San Joaquin,-121.2450807,38.0298609,69.39,76.12,80.1,71.75,50.4,63.42
2096,Sacramento ,-121.5063658,38.5693327,69.38,5.41,54.39,20.86,66.87,56.19
4027,Riverside ,-116.2251547,33.7343347,69.36,44.21,74.58,87.55,70.53,92.65
4800,San Joaquin,-121.3040245,38.0361301,69.35,73.33,97.36,70.69,76.11,95.72
4286,Orange ,-117.8881656,33.938738,69.34,70.16,52.55,30.41,25.25,49.86
6011,Orange ,-117.9195905,33.7996822,69.33,36.14,40.42,76.64,70.84,23.75
3665,Los Angeles,-118.5855271,34.2026924,69.31,26.64,57.89,76.49,71.22,29.41
3697,Los Angeles,-118.4222365,34.3061792,69.3,85.17,57.13,73.42,42.9,41.84
7685,Alameda ,-122.1135398,37.6992653,69.29,80.99,72.27,78.63,69.72,90.86
5200,Alameda ,-122.2835979,37.7778323,69.28,68.14,51.82,63.76,59.23,4.89
6426,Tulare ,-119.3226585,36.3056613,69.26,52.54,59.12,55.34,67.17,25.23
3602,Santa Clara,-121.8568692,37.3125122,69.25,65.36,16.65,81.7,87.5,15.84
2598,Sutter ,-121.6633133,39.0342246,69.24,64.18,65.27,70.58,79.91,89.67
3270,Los Angeles,-117.7453051,34.0478488,69.23,22.65,78.25,94.41,85.88,65.63
2259,Orange ,-117.8706075,33.8654909,69.21,37.58,25.62,55.8,37.64,73.41
6686,Orange ,-117.9083925,33.763493,69.2,71.03,23.94,84.24,58.62,48.26
6434,Orange ,-117.9096281,33.7571126,69.19,61.01,16.53,91.33,77.58,67.48
4076,Santa Clara,-121.9239674,37.3629186,69.18,81.22,12.48,54.21,58.51,30.88
4495,Santa Barbara,-120.4270588,34.9306689,69.16,75.33,52.01,80.66,89.66,18.31
2677,Fresno ,-119.7276686,36.7252331,69.15,61.71,28.12,85.32,84.12,92.88
6883,Orange ,-117.9263206,33.774306,69.14,26.64,63.57,79.59,60.45,23.75
2770,Los Angeles,-118.4420039,34.0313917,69.13,76.44,53.03,52.87,55.69,7.77
14520,Riverside ,-117.2048878,33.8306663,69.11,62.88,90.62,74.65,64.54,15.84
2101,Alameda ,-122.2755009,37.8022742,69.1,2.04,53.94,60,71.55,48.26
3907,Los Angeles,-118.3839912,34.1656901,69.09,20.67,36,43.07,53.62,86.19
3758,Los Angeles,-118.2015849,34.1109412,69.07,74.52,48.92,85.4,77.81,89.46
4763,San Joaquin,-121.3254307,37.9675673,69.06,74.02,66.65,68.03,62.07,78.33
3437,Los Angeles,-118.4840964,34.0227687,69.05,24.76,41.61,44.34,54.79,41.84
3796,Santa Cruz,-121.8155301,36.9028173,69.04,52.36,41.95,58.5,37.89,59.38
6611,San Bernardino,-117.3072899,34.042144,69.02,85.77,53.28,36.18,59.08,43.09
4989,San Bernardino,-117.2851984,34.172019,69.01,86.03,72.31,72.08,75.4,67.48
5837,Kern ,-119.0617564,35.3264609,69,58.56,79.15,74.34,91.27,96.46
4356,Orange ,-117.9165724,33.7429733,68.99,95.45,39.46,95.36,90.3,48.26
5457,Los Angeles,-118.3481533,33.906025,68.97,48.54,86.75,75.45,73.42,55.02
5175,Tulare ,-119.3214124,36.1899328,68.96,7.66,93.07,76.18,83.42,69.98
4588,Stanislaus ,-120.9697851,37.5921181,68.95,11.82,82.54,72.08,51.09,87.69
