chemical,date,latitude,longitude,measurement,units
Perfluorooctanoic acid (PFOA),2020-06-29,41.781029,-124.2006,1.7,NG/L
Perfluorooctanoic acid (PFOA),2021-09-28,41.781029,-124.2006,1.7,NG/L
Perfluorooctane sulfonate (PFOS),2020-03-31,41.785547,-124.198677,12,NG/L
Perfluorooctanoic acid (PFOA),2021-06-27,41.785547,-124.198677,12,NG/L
Perfluorooctane sulfonate (PFOS),2021-06-27,41.785547,-124.198677,13,NG/L
Perfluorooctane sulfonate (PFOS),2019-06-25,41.785547,-124.198677,14,NG/L
Perfluorooctane sulfonate (PFOS),2019-08-12,41.33547,-122.355856,1.7,NG/L
Perfluorooctanoic acid (PFOA),2019-08-12,41.33547,-122.355856,1.7,NG/L
Perfluorooctane sulfonate (PFOS),2019-08-12,41.337549,-122.356432,2,NG/L
Perfluorooctane sulfonate (PFOS),2019-09-23,41.337549,-122.356432,2,NG/L
Perfluorooctane sulfonate (PFOS),2019-09-23,41.33547,-122.355856,2,NG/L
Perfluorooctanoic acid (PFOA),2019-12-17,41.33547,-122.355856,1.8,NG/L
Perfluorooctanoic acid (PFOA),2021-03-15,41.12251,-121.13659,1.7,NG/L
Perfluorooctane sulfonate (PFOS),2020-03-18,40.409716,-120.6404,5,NG/L
Perfluorooctanoic acid (PFOA),2020-03-18,40.409716,-120.6404,5,NG/L
Perfluorooctanoic acid (PFOA),2021-06-21,41.12251,-121.13659,1.7,NG/L
Perfluorooctanoic acid (PFOA),2020-12-10,41.12251,-121.13659,1.7,NG/L
Perfluorooctane sulfonate (PFOS),2022-02-08,40.134805,-120.202597,2,NG/L
Perfluorooctane sulfonate (PFOS),2019-06-19,40.409716,-120.6404,5,NG/L
Perfluorooctane sulfonate (PFOS),2019-09-18,40.409716,-120.6404,5,NG/L
Perfluorooctane sulfonate (PFOS),2021-10-18,40.134805,-120.202597,2,NG/L
Perfluorooctane sulfonate (PFOS),2021-09-20,41.122236,-121.1428,1.7,NG/L
Perfluorooctanoic acid (PFOA),2021-09-20,41.122236,-121.1428,1.7,NG/L
Perfluorooctane sulfonate (PFOS),2019-12-12,41.122236,-121.1428,6.9,NG/L
Perfluorooctanoic acid (PFOA),2019-12-12,41.122236,-121.1428,5,NG/L
Perfluorooctane sulfonate (PFOS),2019-12-12,41.12251,-121.13659,86,NG/L
Perfluorooctane sulfonate (PFOS),2019-09-12,41.122236,-121.1428,5,NG/L
Perfluorooctanoic acid (PFOA),2019-06-19,40.409716,-120.6404,5,NG/L
Perfluorooctane sulfonate (PFOS),2021-06-21,41.12251,-121.13659,1.7,NG/L
Perfluorooctane sulfonate (PFOS),2020-12-10,41.12251,-121.13659,1.7,NG/L
Perfluorooctane sulfonate (PFOS),2021-04-27,40.134805,-120.202597,2,NG/L
Perfluorooctane sulfonate (PFOS),2021-08-20,40.134805,-120.202597,2,NG/L
Perfluorooctane sulfonate (PFOS),2021-06-21,41.122236,-121.1428,1.7,NG/L
Perfluorooctane sulfonate (PFOS),2019-12-23,40.48406,-122.30774,1.8,NG/L
Perfluorooctanoic acid (PFOA),2021-01-25,40.498235,-122.305531,2,NG/L
Perfluorooctane sulfonate (PFOS),2020-03-02,40.498235,-122.305531,3.8,NG/L
Perfluorooctanoic acid (PFOA),2020-03-02,40.498235,-122.305531,1.8,NG/L
Perfluorooctanoic acid (PFOA),2022-04-19,40.498235,-122.305531,2,NG/L
Perfluorooctane sulfonate (PFOS),2022-04-19,40.498235,-122.305531,3.7,NG/L
Perfluorooctane sulfonate (PFOS),2022-07-28,40.498235,-122.305531,3.8,NG/L
Perfluorooctane sulfonate (PFOS),2019-09-09,40.498235,-122.305531,2.8,NG/L
Perfluorooctanoic acid (PFOA),2019-12-23,40.48406,-122.30774,1.8,NG/L
Perfluorooctane sulfonate (PFOS),2021-01-25,40.498235,-122.305531,4.4,NG/L
Perfluorooctanoic acid (PFOA),2019-09-09,40.498235,-122.305531,2,NG/L
Perfluorooctanoic acid (PFOA),2020-03-02,40.48406,-122.30774,1.7,NG/L
Perfluorooctane sulfonate (PFOS),2022-10-27,40.498235,-122.305531,4.1,NG/L
Perfluorooctane sulfonate (PFOS),2020-06-16,40.52478,-122.300008,2,NG/L
Perfluorooctanoic acid (PFOA),2021-05-04,40.506624,-122.300136,2,NG/L
Perfluorooctane sulfonate (PFOS),2020-03-23,40.519,-122.303117,3.1,NG/L
Perfluorooctanoic acid (PFOA),2021-08-11,40.52478,-122.300008,2,NG/L
Perfluorooctanoic acid (PFOA),2019-09-30,40.52478,-122.300008,2,NG/L
Perfluorooctanoic acid (PFOA),2021-05-04,40.52478,-122.300008,2,NG/L
Perfluorooctanoic acid (PFOA),2020-06-16,40.52478,-122.300008,2,NG/L
Perfluorooctane sulfonate (PFOS),2020-06-16,40.519,-122.303117,4.8,NG/L
Perfluorooctane sulfonate (PFOS),2019-12-16,40.52478,-122.300008,2,NG/L
Perfluorooctane sulfonate (PFOS),2020-06-16,40.519758,-122.290432,2,NG/L
Perfluorooctane sulfonate (PFOS),2020-11-30,40.506624,-122.300136,3.9,NG/L
Perfluorooctane sulfonate (PFOS),2021-05-04,40.498694,-122.29883,2,NG/L
Perfluorooctane sulfonate (PFOS),2020-06-16,40.498694,-122.29883,2,NG/L
Perfluorooctanoic acid (PFOA),2021-08-11,40.498694,-122.29883,2,NG/L
Perfluorooctane sulfonate (PFOS),2021-03-16,40.519,-122.303117,2.6,NG/L
Perfluorooctanoic acid (PFOA),2020-03-23,40.519,-122.303117,2,NG/L
Perfluorooctanoic acid (PFOA),2020-03-30,40.533404,-122.296055,2,NG/L
Perfluorooctane sulfonate (PFOS),2019-12-16,40.519758,-122.290432,2,NG/L
Perfluorooctane sulfonate (PFOS),2021-08-11,40.506624,-122.300136,3.4,NG/L
Perfluorooctanoic acid (PFOA),2021-08-11,40.519,-122.303117,2,NG/L
Perfluorooctanoic acid (PFOA),2019-09-30,40.519,-122.303117,2,NG/L
Perfluorooctanoic acid (PFOA),2021-03-16,40.52478,-122.300008,2,NG/L
Perfluorooctanoic acid (PFOA),2019-09-30,40.506624,-122.300136,2,NG/L
Perfluorooctanoic acid (PFOA),2020-11-30,40.506624,-122.300136,2,NG/L
Perfluorooctane sulfonate (PFOS),2019-12-16,40.519,-122.303117,5.9,NG/L
Perfluorooctanoic acid (PFOA),2019-12-16,40.519758,-122.290432,2,NG/L
Perfluorooctanoic acid (PFOA),2019-09-30,40.498694,-122.29883,2,NG/L
Perfluorooctanoic acid (PFOA),2019-12-16,40.52478,-122.300008,2,NG/L
Perfluorooctane sulfonate (PFOS),2021-03-16,40.498694,-122.29883,2,NG/L
Perfluorooctanoic acid (PFOA),2020-06-16,40.533404,-122.296055,2,NG/L
Perfluorooctanoic acid (PFOA),2020-06-16,40.498694,-122.29883,2,NG/L
Perfluorooctanoic acid (PFOA),2019-12-16,40.533404,-122.296055,2,NG/L
Perfluorooctanoic acid (PFOA),2019-09-30,40.519758,-122.290432,2,NG/L
Perfluorooctanoic acid (PFOA),2020-11-30,40.498694,-122.29883,2,NG/L
Perfluorooctane sulfonate (PFOS),2021-08-11,40.498694,-122.29883,2,NG/L
Perfluorooctane sulfonate (PFOS),2021-03-16,40.506624,-122.300136,10,NG/L
Perfluorooctanoic acid (PFOA),2020-12-19,39.312783,-123.781453,2,NG/L
Perfluorooctanoic acid (PFOA),2022-05-10,37.662781,-121.883313,2,NG/L
Perfluorooctane sulfonate (PFOS),2022-04-13,37.561774,-121.979669,11,NG/L
Perfluorooctanoic acid (PFOA),2020-11-09,37.561806,-121.980176,2,NG/L
Perfluorooctane sulfonate (PFOS),2021-06-07,37.662781,-121.883313,5.3,NG/L
Perfluorooctanoic acid (PFOA),2021-02-08,37.562131,-121.980426,2,NG/L
Perfluorooctanoic acid (PFOA),2020-09-15,37.561774,-121.979669,2.8,NG/L
Perfluorooctane sulfonate (PFOS),2022-01-31,37.561806,-121.980176,2,NG/L
Perfluorooctane sulfonate (PFOS),2021-05-24,37.562131,-121.980426,14,NG/L
Perfluorooctanoic acid (PFOA),2021-05-24,37.562131,-121.980426,2,NG/L
Perfluorooctane sulfonate (PFOS),2022-10-03,37.662781,-121.883313,9.4,NG/L
Perfluorooctanoic acid (PFOA),2022-10-03,37.662781,-121.883313,3.9,NG/L
Perfluorooctane sulfonate (PFOS),2021-05-24,37.561806,-121.980176,2,NG/L
Perfluorooctane sulfonate (PFOS),2021-05-17,37.56505,-121.977913,12,NG/L
Perfluorooctane sulfonate (PFOS),2020-06-10,37.56505,-121.977913,10,NG/L
Perfluorooctane sulfonate (PFOS),2022-04-20,37.562432,-121.979327,11,NG/L
Perfluorooctane sulfonate (PFOS),2020-06-09,37.562432,-121.979327,12,NG/L
Perfluorooctane sulfonate (PFOS),2022-08-22,37.561879,-121.979416,13,NG/L
Perfluorooctanoic acid (PFOA),2022-09-21,37.577426,-121.991034,4,NG/L
Perfluorooctane sulfonate (PFOS),2020-07-29,37.662781,-121.883313,4.3,NG/L
Perfluorooctanoic acid (PFOA),2020-07-29,37.662781,-121.883313,1.7,NG/L
Perfluorooctanoic acid (PFOA),2021-08-30,37.562432,-121.979327,2,NG/L
Perfluorooctanoic acid (PFOA),2019-12-11,37.662781,-121.883313,1.8,NG/L
Perfluorooctane sulfonate (PFOS),2022-03-29,37.662781,-121.883313,9,NG/L
Perfluorooctane sulfonate (PFOS),2022-09-06,37.662781,-121.883313,7.2,NG/L
Perfluorooctane sulfonate (PFOS),2021-02-03,37.56531,-121.978,12,NG/L
Perfluorooctane sulfonate (PFOS),2021-02-08,37.561879,-121.979416,11,NG/L
Perfluorooctanoic acid (PFOA),2022-02-16,37.562399,-121.97953,2,NG/L
Perfluorooctanoic acid (PFOA),2022-04-20,37.562399,-121.97953,2,NG/L
Perfluorooctanoic acid (PFOA),2022-08-15,37.56505,-121.977913,4.7,NG/L
Perfluorooctane sulfonate (PFOS),2020-09-16,37.56505,-121.977913,11,NG/L
Perfluorooctanoic acid (PFOA),2022-02-16,37.562131,-121.980426,2,NG/L
Perfluorooctane sulfonate (PFOS),2020-06-09,37.562131,-121.980426,13,NG/L
Perfluorooctanoic acid (PFOA),2020-06-09,37.562131,-121.980426,2,NG/L
Perfluorooctane sulfonate (PFOS),2020-09-15,37.562131,-121.980426,14,NG/L
Perfluorooctane sulfonate (PFOS),2022-01-31,37.562432,-121.979327,11,NG/L
Perfluorooctane sulfonate (PFOS),2021-02-03,37.565204,-121.977622,11,NG/L
Perfluorooctanoic acid (PFOA),2022-04-13,37.561774,-121.979669,2.4,NG/L
Perfluorooctanoic acid (PFOA),2021-08-25,37.56531,-121.978,3.7,NG/L
Perfluorooctanoic acid (PFOA),2021-08-30,37.561879,-121.979416,2,NG/L
Perfluorooctane sulfonate (PFOS),2020-09-15,37.561806,-121.980176,2,NG/L
Perfluorooctanoic acid (PFOA),2020-09-15,37.561806,-121.980176,2,NG/L
Perfluorooctane sulfonate (PFOS),2021-11-29,37.561806,-121.980176,2,NG/L
Perfluorooctane sulfonate (PFOS),2021-05-24,37.562432,-121.979327,14,NG/L
Perfluorooctanoic acid (PFOA),2020-06-10,37.56602,-121.978535,2.4,NG/L
Perfluorooctanoic acid (PFOA),2022-08-15,37.56602,-121.978535,1.9,NG/L
Perfluorooctane sulfonate (PFOS),2022-08-15,37.561774,-121.979669,12,NG/L
Perfluorooctanoic acid (PFOA),2020-09-15,37.562131,-121.980426,2,NG/L
Perfluorooctane sulfonate (PFOS),2021-11-15,37.565561,-121.978125,9.5,NG/L
Perfluorooctane sulfonate (PFOS),2022-10-17,37.56602,-121.978535,9.7,NG/L
Perfluorooctanoic acid (PFOA),2022-10-17,37.56602,-121.978535,2,NG/L
Perfluorooctane sulfonate (PFOS),2020-11-02,37.56602,-121.978535,12,NG/L
Perfluorooctanoic acid (PFOA),2021-05-17,37.566489,-121.978881,2,NG/L
Perfluorooctanoic acid (PFOA),2021-11-15,37.56602,-121.978535,2,NG/L
Perfluorooctanoic acid (PFOA),2021-08-30,37.562399,-121.97953,2,NG/L
Perfluorooctane sulfonate (PFOS),2022-04-13,37.56505,-121.977913,10,NG/L
Perfluorooctane sulfonate (PFOS),2022-08-17,37.566489,-121.978881,8.9,NG/L
Perfluorooctanoic acid (PFOA),2020-06-10,37.56505,-121.977913,6.3,NG/L
Perfluorooctanoic acid (PFOA),2022-10-19,37.566489,-121.978881,2,NG/L
Perfluorooctanoic acid (PFOA),2022-08-15,37.561774,-121.979669,2.3,NG/L
Perfluorooctane sulfonate (PFOS),2021-12-14,37.562399,-121.97953,14,NG/L
Perfluorooctanoic acid (PFOA),2021-12-14,37.562399,-121.97953,2,NG/L
Perfluorooctanoic acid (PFOA),2022-09-21,37.577426,-121.991034,4.1,NG/L
Perfluorooctanoic acid (PFOA),2021-10-11,37.662781,-121.883313,2,NG/L
Perfluorooctanoic acid (PFOA),2022-04-13,37.565561,-121.978125,2,NG/L
Perfluorooctane sulfonate (PFOS),2021-08-23,37.56505,-121.977913,11,NG/L
Perfluorooctanoic acid (PFOA),2020-09-16,37.56505,-121.977913,6.4,NG/L
Perfluorooctanoic acid (PFOA),2022-09-21,37.605692,-122.034289,1.7,NG/L
Perfluorooctane sulfonate (PFOS),2022-02-02,37.56531,-121.978,9.3,NG/L
Perfluorooctane sulfonate (PFOS),2021-05-17,37.566251,-121.978708,10,NG/L
Perfluorooctanoic acid (PFOA),2021-05-17,37.566251,-121.978708,2,NG/L
Perfluorooctane sulfonate (PFOS),2021-06-16,37.561774,-121.979669,12,NG/L
Perfluorooctanoic acid (PFOA),2021-06-16,37.561774,-121.979669,2.5,NG/L
Perfluorooctane sulfonate (PFOS),2022-08-15,37.56531,-121.978,9.8,NG/L
Perfluorooctanoic acid (PFOA),2021-02-03,37.56531,-121.978,3.6,NG/L
Perfluorooctanoic acid (PFOA),2020-06-10,37.565561,-121.978125,4.3,NG/L
Perfluorooctane sulfonate (PFOS),2022-10-17,37.561774,-121.979669,15,NG/L
Perfluorooctanoic acid (PFOA),2022-10-17,37.561774,-121.979669,2.4,NG/L
Perfluorooctanoic acid (PFOA),2022-04-20,37.562131,-121.980426,2,NG/L
Perfluorooctane sulfonate (PFOS),2022-08-15,37.565561,-121.978125,8.8,NG/L
Perfluorooctane sulfonate (PFOS),2021-08-25,37.565204,-121.977622,9.3,NG/L
Perfluorooctanoic acid (PFOA),2021-08-25,37.565204,-121.977622,4.2,NG/L
Perfluorooctane sulfonate (PFOS),2022-01-26,37.566251,-121.978708,8.6,NG/L
Perfluorooctanoic acid (PFOA),2022-01-26,37.566251,-121.978708,2,NG/L
Perfluorooctane sulfonate (PFOS),2021-02-01,37.566251,-121.978708,9.7,NG/L
Perfluorooctane sulfonate (PFOS),2020-09-16,37.565561,-121.978125,12,NG/L
Perfluorooctanoic acid (PFOA),2020-09-16,37.565561,-121.978125,4.6,NG/L
Perfluorooctane sulfonate (PFOS),2021-02-01,37.566251,-121.978708,9.8,NG/L
Perfluorooctane sulfonate (PFOS),2021-02-08,37.561806,-121.980176,2,NG/L
Perfluorooctanoic acid (PFOA),2021-02-08,37.561806,-121.980176,2,NG/L
Perfluorooctanoic acid (PFOA),2021-08-23,37.566251,-121.978708,2,NG/L
Perfluorooctanoic acid (PFOA),2020-11-02,37.565561,-121.978125,5.5,NG/L
Perfluorooctanoic acid (PFOA),2021-02-08,37.562399,-121.97953,2,NG/L
Perfluorooctanoic acid (PFOA),2021-02-03,37.565204,-121.977622,5.6,NG/L
Perfluorooctane sulfonate (PFOS),2022-01-26,37.56602,-121.978535,7.8,NG/L
Perfluorooctanoic acid (PFOA),2020-11-02,37.566251,-121.978708,4,NG/L
Perfluorooctane sulfonate (PFOS),2022-04-20,37.562399,-121.97953,12,NG/L
Perfluorooctanoic acid (PFOA),2021-05-24,37.561806,-121.980176,2,NG/L
Perfluorooctanoic acid (PFOA),2021-08-30,37.561806,-121.980176,2,NG/L
Perfluorooctane sulfonate (PFOS),2021-02-08,37.562432,-121.979327,12,NG/L
Perfluorooctanoic acid (PFOA),2021-02-08,37.562432,-121.979327,2,NG/L
Perfluorooctanoic acid (PFOA),2022-02-02,37.566489,-121.978881,2,NG/L
Perfluorooctane sulfonate (PFOS),2022-04-13,37.56602,-121.978535,8.8,NG/L
Perfluorooctane sulfonate (PFOS),2021-08-23,37.56602,-121.978535,9.2,NG/L
Perfluorooctanoic acid (PFOA),2021-08-23,37.56602,-121.978535,2,NG/L
Perfluorooctane sulfonate (PFOS),2022-01-31,37.561917,-121.979211,11,NG/L
Perfluorooctane sulfonate (PFOS),2022-02-02,37.565204,-121.977622,8.7,NG/L
Perfluorooctane sulfonate (PFOS),2022-01-26,37.56505,-121.977913,8.7,NG/L
Perfluorooctanoic acid (PFOA),2022-01-26,37.56505,-121.977913,3.4,NG/L
Perfluorooctane sulfonate (PFOS),2022-04-20,37.561917,-121.979211,11,NG/L
Perfluorooctane sulfonate (PFOS),2020-06-10,37.56531,-121.978,11,NG/L
Perfluorooctanoic acid (PFOA),2020-06-10,37.56531,-121.978,5.7,NG/L
Perfluorooctane sulfonate (PFOS),2021-11-15,37.56505,-121.977913,12,NG/L
Perfluorooctanoic acid (PFOA),2021-11-15,37.56505,-121.977913,4.5,NG/L
Perfluorooctane sulfonate (PFOS),2020-06-09,37.561879,-121.98039,11,NG/L
Perfluorooctanoic acid (PFOA),2020-11-09,37.561917,-121.979211,3.3,NG/L
Perfluorooctanoic acid (PFOA),2020-09-15,37.561879,-121.98039,2.1,NG/L
Perfluorooctanoic acid (PFOA),2020-11-09,37.561879,-121.98039,2.1,NG/L
Perfluorooctanoic acid (PFOA),2021-05-17,37.56505,-121.977913,5.2,NG/L
Perfluorooctane sulfonate (PFOS),2022-09-21,37.605692,-122.034289,1.7,NG/L
Perfluorooctanoic acid (PFOA),2021-09-22,37.605692,-122.034289,2,NG/L
Perfluorooctane sulfonate (PFOS),2022-04-13,37.56531,-121.978,10,NG/L
Perfluorooctanoic acid (PFOA),2022-04-13,37.56531,-121.978,3.1,NG/L
Perfluorooctane sulfonate (PFOS),2021-02-08,37.561879,-121.98039,11,NG/L
Perfluorooctane sulfonate (PFOS),2022-04-18,37.566489,-121.978881,7.3,NG/L
Perfluorooctane sulfonate (PFOS),2022-10-31,37.538463,-122.020556,2,NG/L
Perfluorooctanoic acid (PFOA),2022-08-15,37.566251,-121.978708,1.7,NG/L
Perfluorooctane sulfonate (PFOS),2020-09-16,37.566251,-121.978708,11,NG/L
Perfluorooctanoic acid (PFOA),2020-09-16,37.566251,-121.978708,4.4,NG/L
Perfluorooctane sulfonate (PFOS),2021-02-01,37.566457,-121.978268,11,NG/L
Perfluorooctanoic acid (PFOA),2022-04-13,37.566251,-121.978708,2,NG/L
Perfluorooctane sulfonate (PFOS),2022-04-11,37.538463,-122.020556,8.4,NG/L
Perfluorooctanoic acid (PFOA),2022-04-13,37.565204,-121.977622,3.6,NG/L
Perfluorooctanoic acid (PFOA),2022-04-11,37.538597,-122.020599,2,NG/L
Perfluorooctane sulfonate (PFOS),2022-02-02,37.566489,-121.978881,7.5,NG/L
Perfluorooctanoic acid (PFOA),2020-06-10,37.538597,-122.020599,2,NG/L
Perfluorooctane sulfonate (PFOS),2022-04-11,37.546484,-122.024965,4.4,NG/L
Perfluorooctanoic acid (PFOA),2022-04-11,37.546484,-122.024965,4,NG/L
Perfluorooctane sulfonate (PFOS),2021-05-17,37.56602,-121.978535,11,NG/L
Perfluorooctanoic acid (PFOA),2021-05-17,37.56602,-121.978535,2.4,NG/L
Perfluorooctane sulfonate (PFOS),2020-06-10,37.56602,-121.978535,9.3,NG/L
Perfluorooctane sulfonate (PFOS),2020-06-10,37.566457,-121.978268,11,NG/L
Perfluorooctane sulfonate (PFOS),2022-08-08,37.538597,-122.020599,9.7,NG/L
Perfluorooctanoic acid (PFOA),2020-09-16,37.565204,-121.977622,6.4,NG/L
Perfluorooctane sulfonate (PFOS),2022-10-17,37.565204,-121.977622,9.4,NG/L
Perfluorooctanoic acid (PFOA),2021-08-23,37.566457,-121.978268,2,NG/L
Perfluorooctane sulfonate (PFOS),2022-10-31,37.538597,-122.020599,11,NG/L
Perfluorooctane sulfonate (PFOS),2022-08-08,37.538463,-122.020556,2,NG/L
Perfluorooctane sulfonate (PFOS),2020-06-10,37.546484,-122.024965,4.5,NG/L
Perfluorooctanoic acid (PFOA),2020-06-10,37.546484,-122.024965,3.1,NG/L
Perfluorooctanoic acid (PFOA),2022-08-08,37.546484,-122.024965,4.2,NG/L
Perfluorooctane sulfonate (PFOS),2021-08-25,37.538463,-122.020556,8.4,NG/L
Perfluorooctane sulfonate (PFOS),2020-06-10,37.566251,-121.978708,10,NG/L
Perfluorooctanoic acid (PFOA),2020-06-10,37.566251,-121.978708,2,NG/L
Perfluorooctanoic acid (PFOA),2022-04-20,37.561879,-121.98039,2.1,NG/L
Perfluorooctane sulfonate (PFOS),2020-10-19,37.546626,-122.024923,8.7,NG/L
Perfluorooctanoic acid (PFOA),2021-02-10,37.546626,-122.024923,2,NG/L
Perfluorooctanoic acid (PFOA),2021-08-25,37.530484,-122.00989,2,NG/L
Perfluorooctane sulfonate (PFOS),2022-08-08,37.531867,-121.99729,3.3,NG/L
Perfluorooctane sulfonate (PFOS),2022-08-17,37.566457,-121.978268,10,NG/L
Perfluorooctane sulfonate (PFOS),2020-09-16,37.566489,-121.978881,11,NG/L
Perfluorooctanoic acid (PFOA),2020-09-16,37.566489,-121.978881,3.2,NG/L
Perfluorooctanoic acid (PFOA),2020-09-15,37.531867,-121.99729,2,NG/L
Perfluorooctane sulfonate (PFOS),2021-11-17,37.566489,-121.978881,7.7,NG/L
Perfluorooctane sulfonate (PFOS),2020-06-09,37.561917,-121.979211,12,NG/L
Perfluorooctane sulfonate (PFOS),2020-06-10,37.538597,-122.020599,9.1,NG/L
Perfluorooctane sulfonate (PFOS),2021-08-23,37.566457,-121.978268,10,NG/L
Perfluorooctane sulfonate (PFOS),2020-09-15,37.561879,-121.98039,12,NG/L
Perfluorooctane sulfonate (PFOS),2022-02-02,37.566457,-121.978268,9.7,NG/L
Perfluorooctanoic acid (PFOA),2022-02-02,37.566457,-121.978268,2,NG/L
Perfluorooctane sulfonate (PFOS),2020-11-09,37.561917,-121.979211,14,NG/L
Perfluorooctane sulfonate (PFOS),2020-06-10,37.530484,-122.00989,5.3,NG/L
Perfluorooctanoic acid (PFOA),2022-01-31,37.561879,-121.98039,2,NG/L
Perfluorooctane sulfonate (PFOS),2021-05-19,37.538463,-122.020556,8.9,NG/L
Perfluorooctanoic acid (PFOA),2021-05-19,37.538463,-122.020556,3.1,NG/L
Perfluorooctane sulfonate (PFOS),2022-08-08,37.538463,-122.020556,8.8,NG/L
Perfluorooctanoic acid (PFOA),2022-01-24,37.538463,-122.020556,2.8,NG/L
Perfluorooctanoic acid (PFOA),2021-08-25,37.538463,-122.020556,3,NG/L
Perfluorooctanoic acid (PFOA),2020-09-15,37.538463,-122.020556,3.1,NG/L
Perfluorooctanoic acid (PFOA),2020-09-15,37.546626,-122.024923,2,NG/L
Perfluorooctanoic acid (PFOA),2020-11-04,37.546484,-122.024965,3.7,NG/L
Perfluorooctane sulfonate (PFOS),2021-11-08,37.538463,-122.020556,8.4,NG/L
Perfluorooctanoic acid (PFOA),2021-11-08,37.538463,-122.020556,2.7,NG/L
Perfluorooctanoic acid (PFOA),2022-01-24,37.546484,-122.024965,4,NG/L
Perfluorooctanoic acid (PFOA),2022-01-24,37.530484,-122.00989,2,NG/L
Perfluorooctane sulfonate (PFOS),2021-08-25,37.530484,-122.00989,5.6,NG/L
Perfluorooctanoic acid (PFOA),2021-05-19,37.531867,-121.99729,2,NG/L
Perfluorooctanoic acid (PFOA),2021-05-17,37.566457,-121.978268,2,NG/L
Perfluorooctanoic acid (PFOA),2022-04-11,37.530484,-122.00989,2,NG/L
Perfluorooctane sulfonate (PFOS),2020-06-10,37.531867,-121.99729,2.4,NG/L
Perfluorooctanoic acid (PFOA),2021-02-10,37.531867,-121.99729,2,NG/L
Perfluorooctane sulfonate (PFOS),2020-11-02,37.566457,-121.978268,11,NG/L
Perfluorooctanoic acid (PFOA),2021-05-19,37.530484,-122.00989,2,NG/L
Perfluorooctane sulfonate (PFOS),2022-04-11,37.531867,-121.99729,2.6,NG/L
Perfluorooctanoic acid (PFOA),2022-04-11,37.531867,-121.99729,2,NG/L
Perfluorooctane sulfonate (PFOS),2022-01-24,37.538597,-122.020599,8.9,NG/L
Perfluorooctane sulfonate (PFOS),2021-02-10,37.538597,-122.020599,9.3,NG/L
Perfluorooctanoic acid (PFOA),2021-02-01,37.566457,-121.978268,2,NG/L
Perfluorooctane sulfonate (PFOS),2021-08-25,37.531867,-121.99729,2.9,NG/L
Perfluorooctanoic acid (PFOA),2021-08-25,37.531867,-121.99729,2,NG/L
Perfluorooctanoic acid (PFOA),2020-06-10,37.530484,-122.00989,2,NG/L
Perfluorooctanoic acid (PFOA),2022-04-18,37.566457,-121.978268,2,NG/L
Perfluorooctane sulfonate (PFOS),2020-11-04,37.531867,-121.99729,2.8,NG/L
Perfluorooctane sulfonate (PFOS),2020-09-15,37.538597,-122.020599,9.1,NG/L
Perfluorooctanoic acid (PFOA),2020-11-04,37.538597,-122.020599,2,NG/L
Perfluorooctanoic acid (PFOA),2021-05-19,37.538597,-122.020599,2,NG/L
Perfluorooctane sulfonate (PFOS),2022-03-31,37.680161,-121.757127,2,NG/L
Perfluorooctane sulfonate (PFOS),2022-03-31,37.680161,-121.757127,16,NG/L
Perfluorooctanoic acid (PFOA),2022-03-31,37.680161,-121.757127,4.6,NG/L
Perfluorooctanoic acid (PFOA),2020-05-07,37.680161,-121.757127,4.3,NG/L
Perfluorooctane sulfonate (PFOS),2022-10-31,37.546484,-122.024965,6.1,NG/L
Perfluorooctanoic acid (PFOA),2022-10-31,37.546484,-122.024965,5.1,NG/L
Perfluorooctanoic acid (PFOA),2022-01-24,37.531867,-121.99729,2,NG/L
Perfluorooctane sulfonate (PFOS),2020-09-15,37.538463,-122.020556,8.6,NG/L
Perfluorooctanoic acid (PFOA),2020-09-15,37.538463,-122.020556,3.1,NG/L
Perfluorooctanoic acid (PFOA),2022-10-31,37.538463,-122.020556,3.1,NG/L
Perfluorooctanoic acid (PFOA),2020-11-04,37.538463,-122.020556,3.1,NG/L
Perfluorooctanoic acid (PFOA),2020-06-10,37.546626,-122.024923,2,NG/L
Perfluorooctane sulfonate (PFOS),2021-11-08,37.530484,-122.00989,5.7,NG/L
Perfluorooctane sulfonate (PFOS),2022-01-05,37.682753,-121.78573,5.3,NG/L
Perfluorooctanoic acid (PFOA),2021-06-24,37.682753,-121.78573,2.6,NG/L
Perfluorooctanoic acid (PFOA),2022-04-26,37.682753,-121.78573,3.1,NG/L
Perfluorooctane sulfonate (PFOS),2020-05-07,37.682753,-121.78573,5,NG/L
Perfluorooctane sulfonate (PFOS),2020-05-07,37.676878,-121.795501,3.6,NG/L
Perfluorooctanoic acid (PFOA),2020-10-21,37.682975,-121.799819,2,NG/L
Perfluorooctane sulfonate (PFOS),2022-02-07,37.680161,-121.757127,15,NG/L
Perfluorooctanoic acid (PFOA),2022-03-31,37.680161,-121.757127,2,NG/L
Perfluorooctane sulfonate (PFOS),2021-07-22,37.690106,-121.781655,13,NG/L
Perfluorooctanoic acid (PFOA),2020-07-02,37.680161,-121.757127,4.4,NG/L
Perfluorooctane sulfonate (PFOS),2022-03-24,37.682975,-121.799819,2,NG/L
Perfluorooctane sulfonate (PFOS),2022-09-22,37.680161,-121.757127,12,NG/L
Perfluorooctanoic acid (PFOA),2022-09-22,37.680161,-121.757127,3.7,NG/L
Perfluorooctanoic acid (PFOA),2022-04-26,37.676878,-121.795501,2.4,NG/L
