chemical,date,latitude,longitude,measurement,units
Alkalinity as CaCO3,1956-01-31,33.7965,-118.136,206,MG/L
Alkalinity as CaCO3,1954-12-01,33.7965,-118.136,136,MG/L
Nitrate as N,1960-09-06,33.7785,-118.1839,0,MG/L
Alkalinity as CaCO3,1930-12-09,33.8291,-118.2102,142,MG/L
Alkalinity as CaCO3,1959-03-12,33.811,-118.2276,297,MG/L
Nitrate as N,1964-10-28,33.8291,-118.232,0.5,MG/L
Nitrate as N,1963-10-28,33.811,-118.232,0.32,MG/L
Alkalinity as CaCO3,1953-05-04,33.811,-118.2276,206,MG/L
Nitrate as N,1958-10-22,33.811,-118.2276,0.25,MG/L
Alkalinity as CaCO3,1963-03-25,33.8509,-118.2538,177,MG/L
Nitrate as N,1957-03-20,33.84,-118.2189,0.34,MG/L
Alkalinity as CaCO3,1953-08-11,33.8364,-118.2102,276,MG/L
Alkalinity as CaCO3,1968-05-07,33.8219,-118.136,107,MG/L
Nitrate as N,1971-06-22,33.8219,-118.136,0,MG/L
Nitrate as N,1971-08-03,33.8183,-118.136,0.02,MG/L
Alkalinity as CaCO3,1954-08-09,33.7712,-118.2871,506,MG/L
Nitrate as N,1963-07-19,34.5929,-117.7011,0.41,MG/L
Alkalinity as CaCO3,1957-07-15,33.7533,-118.2043,287,MG/L
Nitrate as N,1960-08-12,34.5908,-117.9692,2.1,MG/L
Nitrate as N,1967-06-01,33.7712,-118.2784,0,MG/L
Nitrate as N,1965-06-24,33.7712,-118.2653,0,MG/L
Nitrate as N,1963-04-04,33.7712,-118.2871,0,MG/L
Alkalinity as CaCO3,1961-05-10,33.8255,-118.3806,154,MG/L
Nitrate as N,1960-11-09,33.8146,-118.3761,0,MG/L
Alkalinity as CaCO3,1963-11-21,33.811,-118.3674,236,MG/L
Alkalinity as CaCO3,1960-10-20,33.8146,-118.3411,222,MG/L
Nitrate as N,1966-06-06,33.8255,-118.3631,0,MG/L
Alkalinity as CaCO3,1965-07-07,33.8255,-118.3631,233,MG/L
Nitrate as N,1966-02-09,33.8183,-118.3718,0,MG/L
Alkalinity as CaCO3,1962-09-13,33.7676,-118.0952,311,MG/L
Alkalinity as CaCO3,1990-04-16,34.5205,-117.6642,88,MG/L
Nitrate as N,1974-06-03,34.5433,-117.9409,0.1,MG/L
Alkalinity as CaCO3,1950-06-28,34.5042,-117.8979,249,MG/L
Alkalinity as CaCO3,1958-08-04,33.7893,-118.2538,220,MG/L
Alkalinity as CaCO3,1933-04-07,33.7821,-118.2887,265,MG/L
Alkalinity as CaCO3,1960-10-13,33.7785,-118.2757,249,MG/L
Alkalinity as CaCO3,1946-08-12,33.7821,-118.2887,205,MG/L
Nitrate as N,1961-10-18,33.7821,-118.2887,0,MG/L
Nitrate as N,1962-07-25,33.7857,-118.2233,0,MG/L
Nitrate as N,1967-05-24,33.7893,-118.2059,0,MG/L
Alkalinity as CaCO3,1962-12-05,33.8255,-118.3631,238,MG/L
Alkalinity as CaCO3,1967-02-01,33.7893,-118.232,177,MG/L
Alkalinity as CaCO3,1957-01-25,33.7893,-118.2538,240,MG/L
Alkalinity as CaCO3,1988-05-11,37.3494,-120.7777,211,MG/L
