Census Tract,Total Population,California County,ZIP,Approximate Location,Longitude,Latitude,CES 4.0 Score, CES 4.0 Percentile,CES 4.0 Percentile Range,DAC category,Ozone,Ozone Pctl,PM2.5,PM2.5 Pctl,Diesel PM,Diesel PM Pctl,Drinking Water,Drinking Water Pctl,Lead,Lead Pctl,Pesticides,Pesticides Pctl,Tox. Release,Tox. Release Pctl,Traffic,Traffic Pctl,Cleanup Sites,Cleanup Sites Pctl,Groundwater Threats,Groundwater Threats Pctl,Haz. Waste,Haz. Waste Pctl,Imp. Water Bodies,Imp. Water Bodies Pctl,Solid Waste,Solid Waste Pctl,Pollution Burden,Pollution Burden Score,Pollution Burden Pctl,Asthma,Asthma Pctl,Low Birth Weight,Low Birth Weight Pctl,Cardiovascular Disease,Cardiovascular Disease Pctl,Education,Education Pctl,Linguistic Isolation,Linguistic Isolation Pctl,Poverty,Poverty Pctl,Unemployment,Unemployment Pctl,Housing Burden,Housing Burden Pctl,Pop. Char. ,Pop. Char. Score,Pop. Char. Pctl
6071012400,3386,San Bernardino,92408,San Bernardino,-117.2948174,34.0741251,62.13,96.56,95-100% (highest scores),CalEnviroScreen 4.0 Top 25%,0.072,99.07,11.56790922,62.56,0.434,86.75,546.11,64.31,75.14,84.89,0.00,0.00,462.1866608,50.04,1774.230598,83.34,20.85,82.59,11.5,50.87,1.155,87.29,1,12.45,5.5,77.62,64.97,7.93,95.84,75.77,82.53,4.78,46.29,20.97,90.30,38.4,88.71,9.1,58.22,44.8,75.84,8.6,78.97,28.6,88.10,75.50,7.83,87.29
6037535102,4621,Los Angeles,90002,Florence-Graham,-118.2488361,33.9587246,62.09,96.55,95-100% (highest scores),CalEnviroScreen 4.0 Top 25%,0.044,37.57,12.08538401,83.45,0.172,56.74,540.06,63.94,92.31,98.25,0.00,0.00,5238.073405,92.92,865.6201939,48.86,3.25,32.19,56,91.70,0.725,79.22,0,0.00,0.7,24.83,55.34,6.76,83.04,94.66,91.20,6.43,82.61,24.4,97.18,47.3,94.93,17.4,82.08,58.9,90.87,7,67.48,40.5,98.75,88.58,9.19,98.70
6037204420,3154,Los Angeles,90033,Los Angeles,-118.2116197,34.0445316,62.08,96.53,95-100% (highest scores),CalEnviroScreen 4.0 Top 25%,0.049,56.96,12.63753163,92.06,0.711,95.66,824.29,95.48,91.26,97.64,0.00,0.00,2164.073365,80.73,795.7488349,43.96,4.5,40.84,6,35.02,0.135,23.72,7,66.74,0,0.00,57.96,7.08,87.74,81.34,85.83,6.29,80.16,16.99,76.00,51.1,97.03,26.8,93.80,69,97.02,6.4,61.53,31.8,92.94,84.56,8.77,96.28
6037535200,6111,Los Angeles,90002,Florence-Graham,-118.2508919,33.9512593,62.02,96.52,95-100% (highest scores),CalEnviroScreen 4.0 Top 25%,0.044,37.57,12.06217904,81.89,0.116,42.20,540.06,63.94,87.03,94.72,0.00,0.00,5962.709879,93.97,607.5091903,29.03,2.95,29.86,42,87.10,0.2,35.62,7,66.74,0.7,24.83,53.22,6.50,78.61,103.63,93.67,7.33,92.71,25.73,98.11,57.7,98.87,22.8,90.04,51.7,83.66,8.7,79.72,32.3,93.59,92.00,9.54,99.56
6037218400,4737,Los Angeles,90016,Los Angeles,-118.3592342,34.0369278,61.89,96.51,95-100% (highest scores),CalEnviroScreen 4.0 Top 25%,0.046,46.99,11.85097115,71.35,0.569,92.05,787.94,92.53,88.33,95.64,0.00,0.00,2002.198364,79.24,3063.418989,96.19,12,68.94,8.25,41.42,0.35,56.40,7,66.74,5,75.67,68.44,8.36,97.67,78.02,84.26,6.84,88.23,13.31,55.82,27.4,76.79,11.6,67.45,41.2,70.84,3.4,22.57,34.5,95.75,71.39,7.41,81.98
6037433901,6032,Los Angeles,91732,El Monte,-118.0200912,34.0587041,61.83,96.50,95-100% (highest scores),CalEnviroScreen 4.0 Top 25%,0.057,75.12,12.03649159,80.36,0.264,72.41,821.08,95.28,77.66,87.11,0.00,0.00,2230.752014,81.06,764.9587382,41.60,49.5,95.67,30.3,79.96,0.45,65.92,3,33.16,0,0.00,62.72,7.66,93.89,68.46,77.36,4.67,43.08,14.57,64.02,52,97.32,27.2,94.07,64.1,94.43,10.4,87.69,36.8,97.33,77.83,8.07,90.10
6037242000,4189,Los Angeles,90002,Los Angeles,-118.2502155,33.9392821,61.69,96.48,95-100% (highest scores),CalEnviroScreen 4.0 Top 25%,0.044,35.16,12.0688233,82.53,0.262,72.02,736.78,84.49,89.27,96.17,0.00,0.00,7335.570069,95.57,856.5602869,48.30,0,0.00,0,0.00,0.1,16.64,7,66.74,5,75.67,53.46,6.53,79.04,85.34,87.84,8.21,97.25,19.41,85.62,42.9,92.17,18.2,83.84,64.3,94.60,11.7,91.55,38.1,97.85,91.12,9.45,99.37
6037294900,3853,Los Angeles,90744,Los Angeles,-118.2774453,33.7748702,61.64,96.47,95-100% (highest scores),CalEnviroScreen 4.0 Top 25%,0.039,17.65,11.8087939,69.97,2.107,99.83,391.08,42.43,90.43,97.01,0.00,0.00,8504.55306,96.51,1403.85703,75.50,7.3,51.05,13.4,54.87,0.95,84.49,15,94.56,0.2,9.67,61.22,7.47,92.36,73.77,81.17,5.88,72.85,20.58,89.15,50,96.51,23.8,91.22,61.6,92.73,4.5,37.71,22.3,71.57,79.50,8.25,92.12
6071001803,3263,San Bernardino,91761,Ontario,-117.6174205,34.040951,61.64,96.46,95-100% (highest scores),CalEnviroScreen 4.0 Top 25%,0.061,84.58,14.18480361,98.23,0.654,94.51,796.65,93.27,28.74,22.44,0.35,34.93,2711.703369,83.55,1888.972913,85.38,28.85,88.09,15.6,60.60,2.335,93.94,4,43.78,7,83.28,74.39,9.08,99.44,54.05,61.64,5.14,56.12,18.37,82.13,24.1,71.55,9.1,58.22,26.4,47.32,12.2,92.65,17.4,51.36,65.42,6.79,73.59
6037535002,3648,Los Angeles,90001,Florence-Graham,-118.2465194,33.9711665,61.58,96.44,95-100% (highest scores),CalEnviroScreen 4.0 Top 25%,0.045,39.99,12.12263212,85.86,0.139,48.33,540.06,63.94,90.76,97.30,0.00,0.00,4511.25,91.25,753.4769778,40.70,17.15,78.11,22.3,71.26,2.305,93.86,0,0.00,0.2,9.67,55.81,6.81,83.92,80.16,85.27,6.07,76.64,24.73,97.63,51.4,97.22,21.9,89.04,54.5,86.62,7.1,68.40,36.8,97.33,87.12,9.04,97.96
